ay,ax,time,az,vz,vy,vx,comp
-0.006,0.057,9.694430589675903,1.022,-0.521,1.302,-0.063,-72.96879572440247
-0.014,0.027,9.694751501083374,1.016,-0.486,1.162,-0.028,-72.96879572440247
-0.013,0.048,9.69514274597168,0.997,-0.731,1.092,0.637,-72.96879572440247
-0.022,0.056,9.695519208908081,1.01,-0.626,2.247,0.042,-72.96879572440247
-0.018,0.009,9.69590449333191,0.999,-1.046,-0.693,0.077,-72.96879572440247
0.004,0.043,9.69629716873169,1.019,-0.486,-0.028,-0.098,-72.96879572440247
-0.017,0.044,9.696632862091064,1.022,-0.416,1.162,0.042,-72.96879572440247
-0.029,0.017,9.69689154624939,1.007,-0.486,1.232,0.637,-72.96879572440247
-0.011,0.051,9.697129726409912,1.011,-0.066,0.147,-0.728,-72.96879572440247
0.004,0.061,9.698878288269043,1.006,-0.801,0.497,-0.203,-73.03122636958123
-0.011,0.02,10.24033784866333,1.005,-0.486,0.707,0.532,-73.03122636958123
-0.016,0.04,10.240932941436768,1.015,-0.346,0.882,0.707,-73.90500710347463
-0.017,0.026,10.241234540939331,1.02,-0.661,0.112,0.462,-73.90500710347463
-0.021,0.042,10.243193864822388,1.009,-0.556,2.352,0.707,-73.90500710347463
-0.012,0.042,10.243480205535889,1.001,-0.381,0.007,0.287,-73.90500710347463
-0.018,0.022,10.243732452392578,1.02,-0.556,1.652,-0.518,-73.90500710347463
-0.001,0.023,10.243973970413208,1.005,-0.626,-0.378,-0.378,-73.96153661231638
-0.021,0.057,10.244217872619629,1.023,-0.381,2.422,-0.343,-73.96153661231638
-0.023,0.029,10.244481563568115,1.007,-0.696,1.617,0.462,-73.96153661231638
-0.027,0.042,10.244716882705688,1.006,-0.206,1.652,0.532,-73.96153661231638
-0.012,0.044,10.244946718215942,1.005,-0.661,0.882,0.042,-73.96153661231638
-0.042,-0.0,10.245172262191772,1.0,-0.556,1.512,-0.203,-73.96153661231638
0.002,0.069,10.249885559082031,1.021,-0.241,2.422,-0.168,-73.96153661231638
0.032,0.005,10.813030242919922,0.995,-0.521,0.602,-0.063,-73.96153661231638
-0.049,0.04,10.813679695129395,0.982,-0.661,2.002,-0.028,-74.58733799328418
0.015,0.047,10.81578803062439,0.997,-1.851,0.637,-1.393,-74.58733799328418
0.015,0.029,10.816171884536743,1.001,-0.661,1.792,-0.378,-74.58733799328418
-0.024,0.026,10.816561698913574,1.051,0.564,0.987,0.392,-74.58733799328418
-0.021,0.032,10.816917181015015,1.012,-0.136,0.392,0.742,-74.58733799328418
-0.029,0.006,10.817248582839966,0.976,-1.046,1.372,0.147,-74.58733799328418
-0.008,0.071,10.817581415176392,1.014,-0.661,0.742,-0.448,-73.83002739842945
-0.012,0.016,10.817934274673462,1.025,-0.486,0.917,-0.693,-73.83002739842945
0.016,0.016,10.818251848220825,1.032,-0.311,0.567,-0.448,-73.83002739842945
-0.015,0.045,10.818565845489502,1.006,0.144,1.092,1.162,-73.83002739842945
-0.02,0.015,11.40600299835205,0.983,-0.766,0.532,-0.133,-73.83002739842945
-0.03,0.052,11.408329963684082,1.01,-0.766,2.282,-0.063,-74.35152827816678
0.008,0.075,11.408740043640137,1.001,-0.346,0.322,0.777,-74.35152827816678
-0.004,0.023,11.409005403518677,1.013,-0.731,0.987,-1.043,-74.35152827816678
-0.019,0.047,11.409267663955688,1.042,-0.801,1.442,0.112,-74.35152827816678
-0.014,0.05,11.409579515457153,1.013,-0.416,0.847,-0.693,-74.35152827816678
0.009,0.024,11.40987753868103,0.988,-0.381,0.812,0.077,-74.35152827816678
-0.035,0.043,11.410172700881958,1.022,-0.311,1.722,0.147,-74.5433687571988
-0.041,0.058,11.41047716140747,1.022,-0.206,1.722,0.147,-74.5433687571988
0.008,0.038,11.410773515701294,1.013,-0.206,1.022,-1.253,-74.5433687571988
-0.013,0.046,11.411059141159058,1.001,-0.661,2.072,1.337,-74.5433687571988
-0.013,0.046,11.41138505935669,1.001,-0.311,2.072,1.337,-74.5433687571988
0.007,0.043,12.057594299316406,1.025,-0.311,1.022,0.042,-74.5433687571988
0.008,0.029,12.060230016708374,1.001,0.144,2.562,0.287,-74.37040441021941
-0.01,0.065,12.06075119972229,1.037,-1.151,-0.483,0.322,-74.37040441021941
-0.09,0.144,12.061120986938477,1.102,0.179,2.982,-0.413,-74.37040441021941
0.032,0.02,12.061401844024658,1.007,0.179,2.982,-0.413,-74.37040441021941
-0.041,0.052,12.061658143997192,0.988,-0.696,1.057,0.707,-74.37040441021941
-0.036,0.024,12.061898231506348,1.005,-0.801,0.217,-0.203,-74.37040441021941
-0.036,0.016,12.062130451202393,1.005,-0.801,0.217,-0.203,-74.37040441021941
-0.0,0.045,12.062357187271118,1.016,-0.486,1.092,-0.063,-74.37040441021941
0.003,0.029,12.06258487701416,1.019,-0.276,1.057,-0.378,-74.37040441021941
-0.022,0.032,12.062815189361572,0.997,-0.556,0.637,1.372,-73.73411448751703
-0.015,0.035,12.067610263824463,1.011,-0.766,0.952,-0.553,-73.73411448751703
-0.001,0.033,12.688395023345947,1.026,-0.346,0.497,-0.903,-73.73411448751703
-0.024,0.053,12.691099166870117,0.986,-0.556,0.812,1.372,-75.44049919588872
0.01,0.036,12.69160532951355,1.028,-0.731,1.092,-0.203,-75.44049919588872
-0.028,0.033,12.691943407058716,1.009,-0.416,0.007,-0.378,-75.44049919588872
-0.017,0.041,12.692257642745972,1.018,0.144,2.422,0.392,-75.44049919588872
-0.025,0.037,12.692589282989502,1.014,-0.626,1.932,-0.483,-74.15664960847788
-0.009,0.037,12.692919254302979,1.015,-0.521,2.562,-0.028,-74.15664960847788
-0.006,0.048,12.69326400756836,1.009,-0.486,0.532,-0.343,-74.15664960847788
-0.033,0.017,12.69357705116272,1.011,-0.066,0.952,0.007,-74.15664960847788
-0.008,0.041,12.693871974945068,1.017,-0.101,1.337,0.742,-74.15664960847788
-0.016,0.072,12.694160461425781,1.047,-0.556,0.497,-0.833,-74.15664960847788
-0.039,-0.005,13.30752444267273,0.976,-0.556,-1.393,-1.288,-74.15664960847788
-0.005,0.014,13.30987548828125,1.028,0.214,1.127,0.217,-74.42906272182772
-0.019,0.033,13.310242414474487,1.022,0.144,0.462,0.287,-74.42906272182772
-0.005,0.04,13.3105309009552,0.995,-1.116,1.792,0.217,-74.42906272182772
-0.004,0.027,13.310818672180176,1.006,-0.941,1.792,0.007,-74.42906272182772
-0.014,0.032,13.311078786849976,1.001,-0.381,1.162,-0.238,-74.20640298312004
-0.013,0.041,13.311337947845459,1.041,-0.276,0.707,-0.658,-74.20640298312004
0.014,0.066,13.311591863632202,1.027,-0.206,0.322,0.427,-74.20640298312004
-0.015,0.04,13.311841249465942,0.988,-0.556,2.002,0.497,-74.20640298312004
-0.012,0.03,13.312089920043945,1.001,-1.081,0.497,-0.203,-74.20640298312004
-0.015,0.037,13.312340259552002,1.02,-0.556,1.162,0.672,-74.20640298312004
-0.027,0.036,13.916542053222656,1.014,-0.241,0.882,-0.098,-74.20640298312004
-0.01,-0.015,13.917121648788452,0.982,0.529,0.182,-0.868,-74.12313627214152
-0.009,0.055,13.919222831726074,1.019,-0.346,2.457,-1.533,-74.12313627214152
-0.009,0.039,13.91954779624939,1.021,-1.046,1.932,0.497,-73.21950441960297
-0.016,0.031,13.919853687286377,1.022,-0.521,-1.148,0.357,-73.21950441960297
-0.018,0.052,13.920126914978027,1.0,-0.451,2.562,0.952,-73.21950441960297
-0.026,0.023,13.920400142669678,0.988,-0.591,0.147,0.322,-73.21950441960297
-0.017,0.036,13.920677423477173,1.038,-0.171,2.177,-1.428,-73.21950441960297
-0.001,0.039,13.920932531356812,1.008,-0.416,-0.203,0.042,-73.21950441960297
-0.02,0.035,13.921185970306396,0.99,-0.941,1.687,1.092,-73.21950441960297
-0.024,0.041,13.921437740325928,1.019,-0.521,1.267,0.532,-73.21950441960297
-0.003,0.025,13.923734188079834,1.014,0.004,1.372,0.077,-73.21950441960297
-0.007,0.068,13.92402696609497,0.998,-0.626,1.267,-0.693,-73.21950441960297
-0.0,0.015,13.924339771270752,1.005,-1.221,0.462,0.987,-73.07421286830156
-0.023,0.043,13.924642086029053,1.022,0.039,2.947,0.322,-73.07421286830156
-0.019,0.059,14.486046552658081,1.023,-0.521,-0.168,-1.323,-73.07421286830156
-0.014,0.06,14.488338232040405,1.023,-0.521,1.162,-0.623,-73.99854445304253
0.01,-0.013,14.488865375518799,0.975,-0.591,0.357,-0.203,-73.40524643347077
0.009,0.033,14.489203929901123,0.997,0.109,2.492,0.742,-73.40524643347077
-0.042,0.056,14.489526510238647,1.019,-1.501,0.882,1.197,-73.40524643347077
0.032,0.011,14.489800214767456,1.005,-0.346,0.987,0.077,-73.40524643347077
-0.036,0.117,14.490063190460205,1.054,0.004,0.672,-1.848,-73.40524643347077
-0.005,0.112,14.490327835083008,1.064,-0.346,2.492,0.567,-73.40524643347077
-0.026,0.024,14.490696430206299,1.0,-0.836,-0.343,0.602,-73.40524643347077
-0.015,0.036,14.491077899932861,1.0,-0.836,2.002,-0.168,-73.40524643347077
-0.025,0.036,14.49137806892395,1.024,-0.276,0.322,0.042,-73.40524643347077
-0.018,0.053,14.493458271026611,1.022,-0.661,0.777,0.567,-73.40524643347077
-0.039,0.021,15.098625659942627,1.004,-0.626,1.337,-0.413,-73.50147515063247
-0.028,0.041,15.099275588989258,1.032,-0.871,3.437,-0.588,-75.17409499406527
-0.018,0.041,15.09966778755188,1.005,0.004,2.142,-1.253,-75.17409499406527
-0.013,0.068,15.101789236068726,0.994,-0.066,2.387,0.812,-75.17409499406527
-0.031,0.008,15.10214352607727,1.007,-0.521,1.127,-0.903,-75.17409499406527
-0.035,0.037,15.102468967437744,0.998,-0.416,-1.183,-1.113,-75.17409499406527
0.001,0.043,15.102789163589478,0.966,-0.101,2.457,-0.203,-75.17409499406527
-0.031,0.042,15.103099584579468,1.021,-0.381,0.007,0.077,-75.17409499406527
-0.028,0.025,15.103405952453613,1.016,-0.696,0.742,-0.413,-75.17409499406527
-0.025,0.041,15.103711605072021,1.006,-0.696,0.742,-0.413,-75.17409499406527
-0.027,0.044,15.10401463508606,1.021,-0.311,3.367,-1.463,-74.36795256958543
0.005,0.048,15.104324102401733,1.018,-0.731,0.077,1.337,-74.36795256958543
-0.037,0.022,15.719860792160034,0.993,0.249,2.842,0.567,-74.36795256958543
0.005,0.012,15.722123146057129,1.023,-0.871,1.232,0.077,-74.33860925930774
