comp,ax,time,ay,vx,az,vy,vz
-80.0666191792724,-0.19,20.01235342025757,0.04,10.592,1.121,7.893,19.198
-81.62459045143981,-0.118,20.012548208236694,0.247,11.852,1.117,11.848,26.443
-81.62459045143981,-0.249,20.012746334075928,0.043,4.257,1.02,8.908,34.283
-81.62459045143981,-0.067,20.012974739074707,0.047,5.902,1.055,14.158,38.588
-81.62459045143981,0.013,20.01708459854126,0.119,-8.413,1.124,9.118,46.078
-81.62459045143981,-0.167,20.53317379951477,0.097,-24.618,0.928,-1.347,52.168
-87.35360887226483,0.068,20.535733938217163,-0.2,-9.533,0.867,-6.142,-1.767
-87.35360887226483,0.034,20.536194562911987,-0.277,-9.638,1.019,-2.642,1.313
-87.35360887226483,0.032,20.536503553390503,-0.172,-6.138,1.07,0.718,3.273
-87.35360887226483,0.104,20.536824941635132,-0.179,-4.073,0.937,1.873,6.108
-87.55444255763423,0.119,20.537202835083008,-0.244,-3.653,0.89,1.138,8.033
-87.55444255763423,0.145,20.53752851486206,-0.19,-4.983,0.93,1.313,8.873
-87.55444255763423,0.158,20.53789186477661,-0.143,-5.683,1.08,-0.367,9.083
-87.55444255763423,0.129,20.53824019432068,-0.2,-6.033,1.008,-0.857,9.013
-87.55444255763423,0.143,20.538573741912842,-0.183,-7.118,1.053,-2.817,7.263
-87.55444255763423,0.144,20.53889012336731,-0.169,-7.958,1.008,-4.847,6.003
-87.55444255763423,0.161,21.00985813140869,-0.153,-7.363,1.006,-4.357,5.233
-85.0428739303193,0.125,21.01042413711548,-0.111,-1.133,0.952,-3.552,1.138
-85.0428739303193,0.117,21.012120962142944,-0.168,-1.273,1.108,-0.717,0.613
-85.0428739303193,0.188,21.012466192245483,-0.173,-1.343,1.114,2.153,-0.227
-85.0428739303193,0.117,21.012773990631104,-0.103,4.187,0.917,8.348,0.333
-85.0428739303193,0.134,21.013076305389404,-0.086,5.342,0.955,6.213,-0.822
-85.01458776427974,0.142,21.013396978378296,-0.116,3.837,1.051,3.413,-3.097
-84.63721046818276,0.095,21.013673543930054,0.148,10.102,0.58,-1.277,-7.332
-84.63721046818276,0.215,21.013948917388916,-0.123,10.137,1.26,-8.907,-11.112
-84.63721046818276,0.172,21.01422119140625,-0.02,14.057,1.058,-4.672,-13.457
-84.63721046818276,0.1,21.01448893547058,-0.18,14.057,1.048,2.328,-12.582
-84.63721046818276,0.169,21.016294956207275,-0.117,14.337,1.042,9.538,-9.537
-84.63721046818276,0.14,21.47811198234558,-0.112,10.522,0.905,16.923,-7.822
-81.35202559728043,-0.08,21.480105876922607,0.118,-4.633,0.584,-1.347,-14.087
-80.38377850888628,-0.152,21.48045778274536,0.081,-8.483,0.913,-22.802,-0.367
-80.38377850888628,0.024,21.48076605796814,-0.071,-9.078,1.372,-26.757,-0.682
-80.38377850888628,-0.093,21.48102903366089,0.243,10.662,1.412,-30.782,-0.157
-80.38377850888628,-0.088,21.48131561279297,0.1,31.172,0.946,-7.612,2.363
-80.38377850888628,-0.24,21.481554746627808,0.335,19.517,0.94,9.153,10.133
-80.38377850888628,-0.109,21.481857538223267,0.111,5.202,1.108,16.153,15.488
-80.38377850888628,0.033,21.482157945632935,0.178,0.617,1.189,11.743,16.748
-84.51731507202179,0.059,21.482470989227295,0.226,7.792,1.025,3.168,17.098
-83.0980327654736,0.092,21.48278045654297,0.072,16.717,0.948,-7.402,17.098
-83.0980327654736,0.126,21.483075857162476,-0.056,17.697,1.004,-8.627,16.398
-83.0980327654736,0.092,21.966123819351196,0.08,14.967,1.191,-12.477,16.398
-83.57695888842076,0.081,21.968053340911865,0.226,2.542,0.985,-8.802,-6.842
-83.57695888842076,0.038,21.968555450439453,0.196,5.307,1.066,-8.907,-7.402
-83.57695888842076,0.053,21.968815088272095,0.236,7.092,0.984,-12.582,-8.417
-83.57695888842076,0.075,21.969038724899292,0.267,9.647,1.108,-13.737,-8.732
-83.57695888842076,0.067,21.969266414642334,0.247,11.922,0.968,-15.172,-8.767
-83.57695888842076,0.049,21.96947932243347,0.248,12.132,1.032,-15.627,-8.172
-83.57695888842076,0.049,21.969690799713135,0.248,12.132,1.032,-15.627,-8.172
-83.57695888842076,0.08,21.96989417076111,0.221,12.097,1.035,-12.792,-6.317
-82.53601831680045,0.068,21.970101356506348,0.222,12.062,1.0,-11.742,-5.827
-82.53601831680045,0.062,21.970311641693115,0.21,12.482,0.919,-11.217,-1.977
-82.53601831680045,0.159,21.970520734786987,0.143,14.722,0.96,-9.292,1.628
-82.53601831680045,0.137,22.427298069000244,0.175,15.212,0.954,-9.712,4.323
-85.61896216819198,0.126,22.429222345352173,0.13,0.932,1.04,-2.782,6.598
-86.29095754431764,0.075,22.42951202392578,0.115,0.372,1.035,1.453,7.648
-86.29095754431764,0.171,22.429728507995605,0.186,0.547,1.018,0.403,8.103
-86.29095754431764,0.106,22.429925203323364,0.13,-1.693,1.043,2.923,10.308
-86.29095754431764,0.127,22.430116653442383,0.136,-2.463,0.933,1.033,11.463
-86.29095754431764,0.17,22.430303812026978,0.197,-1.728,0.997,1.663,12.618
-86.29095754431764,0.108,22.430490016937256,0.112,-1.273,0.938,3.273,14.193
-86.29095754431764,0.163,22.430681943893433,0.177,0.477,1.032,2.853,14.858
-86.29095754431764,0.102,22.43086838722229,0.181,0.162,0.994,7.613,15.488
-86.29095754431764,0.147,22.43105173110962,0.148,-4.038,1.039,7.193,15.593
-86.33631333509156,0.151,22.941142797470093,0.17,-5.963,0.987,8.278,16.258
-86.8502138741117,0.138,22.94315814971924,0.109,-22.903,0.973,-2.397,-18.322
-86.8502138741117,0.141,22.94344186782837,0.102,-20.943,1.008,-5.267,-19.197
-86.8502138741117,0.141,22.943660736083984,0.102,-18.283,0.841,-5.407,-19.617
-86.8502138741117,0.138,22.943864107131958,0.13,-13.803,0.992,-5.547,-21.017
-86.8502138741117,0.134,22.944085121154785,0.1,-12.683,0.999,-3.622,-21.227
-86.8502138741117,0.153,22.944366931915283,0.106,-10.513,0.991,-1.942,-20.702
-86.8502138741117,0.111,22.94464087486267,0.108,-9.673,1.115,1.943,-19.022
-86.8502138741117,0.095,22.9449200630188,0.088,-14.118,1.066,5.303,-17.412
-85.61172058966477,0.064,22.94522523880005,0.103,-14.818,1.066,6.073,-17.097
-85.61172058966477,0.148,22.945504426956177,0.15,-13.383,0.924,9.293,-16.502
-85.61172058966477,0.085,23.448733806610107,0.049,-8.623,1.013,10.868,-15.662
-85.7881465099114,0.104,23.4509756565094,-0.066,-13.663,1.007,-8.522,-0.787
-85.7881465099114,0.143,23.451380014419556,-0.089,-13.908,0.989,-9.327,0.123
-85.7881465099114,0.126,23.45166540145874,-0.06,-14.118,1.006,-10.552,1.068
-85.7881465099114,0.108,23.451928853988647,-0.042,-13.838,0.986,-10.797,1.803
-85.7881465099114,0.188,23.45218539237976,-0.133,-14.573,0.844,-14.192,2.783
-85.7881465099114,0.113,23.45244002342224,-0.098,-13.733,1.038,-11.847,3.798
-85.59061161161071,0.133,23.45269227027893,-0.092,-14.048,0.955,-12.897,3.903
-85.59061161161071,0.156,23.452943086624146,-0.12,-13.068,1.128,-12.582,3.518
-85.59061161161071,0.117,23.453219175338745,-0.089,-11.948,0.96,-10.482,3.623
-85.59061161161071,0.147,23.453516244888306,-0.126,-10.548,1.058,-9.782,3.623
-85.59061161161071,0.134,23.457804203033447,0.059,-8.518,1.028,-6.667,3.483
-85.59061161161071,0.167,23.909103631973267,-0.106,-5.648,0.987,-2.292,4.078
-86.13808632212648,0.187,23.9110267162323,-0.163,1.177,1.011,3.588,-6.002
-86.13808632212648,0.143,23.91131353378296,-0.116,1.457,1.014,4.148,-5.582
-86.13808632212648,0.193,23.911537408828735,-0.122,2.752,1.021,2.958,-5.302
-86.13808632212648,0.184,23.91175127029419,-0.125,4.502,1.006,4.533,-4.952
-86.13808632212648,0.156,23.91195583343506,-0.104,5.447,0.977,5.758,-4.357
-86.13808632212648,0.16,23.912155389785767,-0.121,5.972,1.057,3.273,-4.707
-86.13808632212648,0.161,23.912354230880737,-0.076,2.577,0.966,-0.227,-5.372
-86.13808632212648,0.195,23.912556409835815,-0.104,1.002,0.993,-2.012,-5.862
-86.13808632212648,0.13,23.91275382041931,-0.062,-0.713,1.072,-2.187,-6.632
-85.8333795836267,0.158,23.912951231002808,-0.114,2.472,0.989,-0.857,-6.772
-85.8333795836267,0.139,23.916987895965576,-0.088,4.292,1.089,0.578,-7.332
-85.8333795836267,0.128,24.40955424308777,-0.057,-0.188,0.893,-1.627,-8.837
-82.27902662958937,0.192,24.41161847114563,-0.11,22.632,0.833,32.953,-37.397
-82.27902662958937,0.09,24.41199278831482,-0.035,26.202,0.998,28.438,-40.932
-82.27902662958937,0.147,24.412321090698242,-0.064,32.012,0.958,29.873,-42.857
-82.27902662958937,0.147,24.412635564804077,-0.064,32.012,0.958,34.038,-42.927
-82.27902662958937,-0.183,24.41291046142578,0.257,41.322,1.16,38.763,-42.192
-82.27902662958937,0.27,24.413177728652954,-0.02,32.257,1.174,38.728,-42.927
-82.27902662958937,0.177,24.413424015045166,0.045,28.162,1.093,34.983,-43.207
-82.27902662958937,-0.063,24.41368865966797,0.052,21.862,1.043,26.478,-41.947
-79.53588941265052,0.155,24.413941383361816,0.119,2.087,1.171,26.618,-39.777
-79.53588941265052,-0.153,24.414162635803223,0.148,-1.588,0.914,11.533,-38.237
-79.53588941265052,-0.303,24.946449279785156,0.088,-11.913,1.122,12.198,-34.632
