comp,az,vy,vx,ax,vz,time,ay
-86.22484071833334,0.98,9.853,-26.753,0.073,-39.672,7.716834783554077,-0.014
-86.22484071833334,0.969,9.748,-19.858,0.06,-37.992,7.71705961227417,0.012
-86.22484071833334,0.946,9.608,-17.863,0.106,-37.082,7.717278003692627,0.012
-86.22484071833334,0.883,7.438,-13.033,0.064,-34.562,7.71830940246582,-0.022
-84.29535123025255,0.919,3.413,-5.823,0.07,-29.487,8.184945821762085,0.001
-84.19969225966307,0.99,0.438,-2.498,0.112,-5.897,8.18545937538147,-0.099
-84.19969225966307,1.011,1.243,-1.308,0.107,-6.562,8.187235116958618,-0.101
-84.19969225966307,0.992,2.223,-1.273,0.119,-6.807,8.187491416931152,-0.081
-84.1326527533575,0.987,4.358,-0.048,0.12,-6.212,8.187723159790039,-0.086
-84.1326527533575,1.023,4.323,-0.433,0.124,-6.387,8.187955617904663,-0.089
-84.1326527533575,0.998,4.918,0.442,0.148,-5.967,8.188179016113281,-0.09
-84.1326527533575,0.995,3.553,0.302,0.145,-5.932,8.18840217590332,-0.074
-84.1326527533575,1.027,3.553,-0.643,0.126,-6.177,8.188623905181885,-0.088
-84.1326527533575,0.984,2.363,-0.258,0.128,-6.107,8.188841104507446,-0.051
-84.1326527533575,1.008,3.973,-4.528,0.172,-6.737,8.189057350158691,-0.082
-84.1326527533575,1.061,3.063,-1.308,0.138,-7.472,8.661757230758667,-0.09
-81.96726838400413,1.084,16.223,12.517,0.208,-4.882,8.663987874984741,-0.069
-81.96726838400413,0.882,9.643,30.017,0.131,-6.072,8.664374589920044,-0.037
-81.96726838400413,0.926,13.388,20.952,0.139,-5.792,8.66472339630127,0.016
-81.96726838400413,0.904,10.798,21.442,0.153,-7.017,8.665055274963379,-0.104
-81.47804204905329,1.03,9.643,24.172,0.192,-6.527,8.665321350097656,-0.085
-81.47804204905329,1.063,7.998,16.647,0.067,-5.477,8.665627717971802,-0.078
-81.47804204905329,1.089,9.188,16.962,0.069,-5.092,8.66591215133667,-0.075
-81.47804204905329,1.032,11.953,16.717,0.142,-3.552,8.66618824005127,-0.076
-81.47804204905329,1.103,15.103,21.162,0.118,-2.572,8.666461944580078,-0.027
-81.47804204905329,1.104,15.978,24.487,0.102,-2.922,8.666730403900146,-0.102
-81.47804204905329,1.088,15.978,19.622,0.106,-2.922,8.667752742767334,-0.056
-81.47804204905329,0.994,14.263,24.207,0.127,-3.622,9.137174129486084,-0.009
-80.19801574644708,1.036,-3.377,11.257,0.13,-5.477,9.137715578079224,0.028
-80.19801574644708,1.024,0.508,7.722,0.087,-8.137,9.139808416366577,0.003
-80.19801574644708,1.025,4.533,6.812,0.092,-7.857,9.140135765075684,0.04
-80.19801574644708,1.045,5.828,5.552,0.112,-7.402,9.140424728393555,0.029
-80.19801574644708,1.027,7.123,5.517,0.074,-6.002,9.140707969665527,0.03
